run_ts_utc,date,market_id,question,slug,end_date,outcome_yes,price_yes,outcome_no,price_no,volume_24h,volume_total,liquidity
2026-09-12T09:41:03+00:00,2026-09-12,2252244,Will there be no change in Fed interest rates after the September 2026 meeting?,will-there-be-no-change-in-fed-interest-rates-after-the-september-2026-meeting-615,2026-09-16T00:00:00Z,Yes,0.205,No,0.795,7076252.258784034,35216996.20411605,795487.3922
2026-09-12T09:41:03+00:00,2026-09-12,2252245,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-the-september-2026-meeting-649,2026-09-16T00:00:00Z,Yes,0.785,No,0.215,5569270.634555999,27807217.69093502,706486.7104
2026-09-12T09:41:03+00:00,2026-09-12,2252243,Will the Fed decrease interest rates by 25 bps after the September 2026 meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-the-september-2026-meeting-586,2026-09-16T00:00:00Z,Yes,0.0035,No,0.9965,3674463.3014329993,38208644.401542015,2887840.4361
2026-09-12T09:41:03+00:00,2026-09-12,2252246,Will the Fed increase interest rates by 50+ bps after the September 2026 meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-the-september-2026-meeting-664,2026-09-16T00:00:00Z,Yes,0.0065,No,0.9935,3159257.259394999,19058044.139036007,1421922.39197
2026-09-12T09:41:03+00:00,2026-09-12,4294702,LoL: Hanwha Life Esports vs T1 - Game 3 Winner,lol-hle1-t1-2026-09-12-game3,2026-09-12T11:00:00Z,Hanwha Life Esports,0.0005,T1,0.9995,2817390.3300640034,2817407.8739240007,874582.81314
2026-09-12T09:41:03+00:00,2026-09-12,4294706,LoL: Hanwha Life Esports vs T1 (BO5) - LCK Playoffs,lol-hle1-t1-2026-09-12,2026-09-12T11:00:00Z,Hanwha Life Esports,0.9995,T1,0.0005,2256954.453657999,2308951.377178999,963151.59445
2026-09-12T09:41:03+00:00,2026-09-12,4464622,Counter-Strike: Legacy vs MIBR (BO3) - FISSURE PLAYGROUND Playoffs,cs2-lgc-mibr-2026-09-12,2026-09-12T12:00:00Z,Legacy,0.6425,MIBR,0.3575,1695793.9954320008,1695182.7678269993,37173.54644
2026-09-12T09:41:03+00:00,2026-09-12,4294704,LoL: Hanwha Life Esports vs T1 - Game 4 Winner,lol-hle1-t1-2026-09-12-game4,2026-09-12T11:00:00Z,Hanwha Life Esports,0.9995,T1,0.0005,1566568.5943629998,1566568.5943629998,855640.49522
2026-09-12T09:41:03+00:00,2026-09-12,561994,Will Kristi Noem win the 2028 Republican presidential nomination?,will-kristi-noem-win-the-2028-republican-presidential-nomination,2028-11-07T00:00:00Z,Yes,0.0015,No,0.9985,1261040.503,37619202.73809901,1280642.97205
2026-09-12T09:41:03+00:00,2026-09-12,4362621,LoL: Anyone's Legend vs Invictus Gaming (BO5) - LPL Playoffs,lol-al-ig1-2026-09-12,2026-09-12T15:00:00Z,Anyone's Legend,0.395,Invictus Gaming,0.605,1198942.813183999,1417350.9660540004,107850.1861
