run_ts_utc,date,market_id,question,slug,end_date,outcome_yes,price_yes,outcome_no,price_no,volume_24h,volume_total,liquidity
2026-09-19T09:50:05+00:00,2026-09-19,1130012,Will United Russia (ER) gain the most seats in the next Russian parliamentary election?,will-united-russia-er-gain-the-most-seats-in-the-next-russian-parliamentary-election,2026-09-30T00:00:00Z,Yes,0.745,No,0.255,2587777.98945,14712433.981536992,517947.7591
2026-09-19T09:50:05+00:00,2026-09-19,4277533,Will FC Barcelona win on 2026-09-19?,lal-sev-bar-2026-09-19-bar,2026-09-19T19:00:00Z,Yes,0.775,No,0.225,1167900.5610740008,1325897.089699001,518056.9209
2026-09-19T09:50:05+00:00,2026-09-19,4685141,LoL: Invictus Gaming vs JD Gaming (BO5) - LPL Regional Finals Playoffs,lol-ig1-jdg-2026-09-19,2026-09-19T15:00:00Z,Invictus Gaming,0.705,JD Gaming,0.295,848386.4358400002,848094.3201059998,130038.2824
2026-09-19T09:50:05+00:00,2026-09-19,4685136,LoL: Invictus Gaming vs JD Gaming - Game 1 Winner,lol-ig1-jdg-2026-09-19-game1,2026-09-19T13:00:00Z,Invictus Gaming,0.9995,JD Gaming,0.0005,817564.5718169996,807081.6568709988,1040533.18061
2026-09-19T09:50:05+00:00,2026-09-19,4276555,Tottenham Hotspur FC vs. Aston Villa FC: O/U 2.5,epl-tot-ast-2026-09-19-total-2pt5,2026-09-19T11:30:00Z,Over,0.555,Under,0.445,565292.5762820002,597522.4830520002,314225.2093
2026-09-19T09:50:05+00:00,2026-09-19,1130016,Will New People (NL) gain the most seats in the next Russian parliamentary election?,will-new-people-nl-gain-the-most-seats-in-the-next-russian-parliamentary-election,2026-09-30T00:00:00Z,Yes,0.2355,No,0.7645,524174.2983640002,3977631.605723001,281417.18419
2026-09-19T09:50:05+00:00,2026-09-19,4273058,Will Arsenal FC win on 2026-09-19?,epl-bri-ars-2026-09-19-ars,2026-09-19T14:00:00Z,Yes,0.565,No,0.435,518191.90815199865,606960.5611719987,1051094.6742
2026-09-19T09:50:05+00:00,2026-09-19,1130020,Will Yabloko gain the most seats in the next Russian parliamentary election?,will-yabloko-gain-the-most-seats-in-the-next-russian-parliamentary-election,2026-09-30T00:00:00Z,Yes,0.0015,No,0.9985,497286.850336,2807623.8354470003,533599.6405
2026-09-19T09:50:05+00:00,2026-09-19,2772194,Will Shakhtar Donetsk win the 2026-27 UEFA Champions League Championship?,will-shakhtar-donetsk-win-the-2026-27-uefa-champions-league-championship-20260701202025578,2027-05-30T23:59:00Z,Yes,0.0015,No,0.9985,430204.44,19552209.931999993,411649.64249
2026-09-19T09:50:05+00:00,2026-09-19,1130014,Will A Just Russia – For Truth (SRZP) gain the most seats in the next Russian parliamentary election?,will-a-just-russia-for-truth-srzp-gain-the-most-seats-in-the-next-russian-parliamentary-election,2026-09-30T00:00:00Z,Yes,0.0015,No,0.9985,422103.0479999999,3689263.5189380012,547268.60557
2026-09-19T09:50:05+00:00,2026-09-19,4615709,Dota 2: 1win vs Team Nemesis - Game 2 Winner,dota2-1win-nem-2026-09-19-game2,2026-09-19T11:00:00Z,1win,0.0005,Team Nemesis,0.9995,395613.77911200037,395613.7791119998,586275.54395
2026-09-19T09:50:05+00:00,2026-09-19,2589814,Will the Fed increase interest rates by 50+ bps after the October 2026 meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-the-october-2026-meeting-20260617190324033,2026-10-28T23:59:00Z,Yes,0.0095,No,0.9905,391926.58989000006,1250015.1323520003,473321.71676
2026-09-19T09:50:05+00:00,2026-09-19,1130015,Will the Liberal Democratic Party of Russia (LDPR) gain the most seats in the next Russian parliamentary election?,will-the-liberal-democratic-party-of-russia-ldpr-gain-the-most-seats-in-the-next-russian-parliamentary-election,2026-09-30T00:00:00Z,Yes,0.0175,No,0.9825,388367.3816569992,4454517.574997,323333.05204
2026-09-19T09:50:05+00:00,2026-09-19,2730675,Iran leadership change by September 30?,iran-leadership-change-by-september-30-20260629144005163-739-824,2026-10-01T03:59:00Z,Yes,0.0145,No,0.9855,354587.2682,1473614.5414109998,242333.48523
2026-09-19T09:50:05+00:00,2026-09-19,1130013,Will the Communist Party of the Russian Federation (KPRF) gain the most seats in the next Russian parliamentary election?,will-the-communist-party-of-the-russian-federation-kprf-gain-the-most-seats-in-the-next-russian-parliamentary-election,2026-09-30T00:00:00Z,Yes,0.004,No,0.996,352840.123883,2685591.7316019996,279288.84726
2026-09-19T09:50:05+00:00,2026-09-19,4052444,"Will Ethereum reach $4,000 in September?",will-ethereum-reach-4000-in-september-2026,2026-10-01T04:00:00Z,Yes,0.0065,No,0.9935,307882.15930199996,721394.3606499999,139996.53086
2026-09-19T09:50:05+00:00,2026-09-19,4706803,Counter-Strike: Luminosity vs BBL (BO3) - Logitech G Play Connect Playoffs,cs2-lg6-bbl1-2026-09-19,2026-09-19T17:00:00Z,Luminosity,0.645,BBL,0.355,301246.08261200006,301246.082612,247353.7256
2026-09-19T09:50:05+00:00,2026-09-19,4273069,Will Newcastle United FC win on 2026-09-19?,epl-new-hul-2026-09-19-new,2026-09-19T14:00:00Z,Yes,0.605,No,0.395,298489.3003449999,340653.812954,691092.9864
2026-09-19T09:50:05+00:00,2026-09-19,4273026,Will Tottenham Hotspur FC win on 2026-09-19?,epl-tot-ast-2026-09-19-tot,2026-09-19T11:30:00Z,Yes,0.505,No,0.495,281491.4596059999,294516.441468,859891.2527
2026-09-19T09:50:05+00:00,2026-09-19,561243,Will Donald Trump win the 2028 US Presidential Election?,will-donald-trump-win-the-2028-us-presidential-election,2028-11-07T00:00:00Z,Yes,0.0075,No,0.9925,277457.613886,10508482.298001003,679814.49268
